city,cityId,locality,localityId,bhk_numbers,bhkId,propertyType_name,propertyType_id,No.of Bathroom,bathroomId,amenities_name,amenities_id,minArea,maxArea,builderid,buildername,minPrice,maxPrice
Bangalore,1,Whitefield,1,1RK ,9,Apartment,50401,1Bathroom ,1,Atm,22,3355,3477,26,Inner Spaces,13300000,14100000
Bangalore,1,Marathahalli,2,1BHK ,1,Villa,50402,2Bathrooms,2,Auditorium,23,691,2634,6,Assetz Property,4455000,22600000
Bangalore,1,CV Raman Nagar,3,2BHK ,2,Plot,50403,3Bathrooms,3,Badminton Court,24,853,1778,17,Bren Group,6716000,13900000
Bangalore,1,Sarjapur Road,5,3BHK ,3,Independent House,50404,4Bathrooms,4,Basket Ball Court,25,733,1644,17,Bren Group,5127000,11500000
Bangalore,1,Old Madras Road,6,4BHK ,4,,,,,Cafeteria,26,55,5,17,Bren Group,5127000,11500000
Bangalore,1,Electronic City,10,5BHK ,5,,,,,Garden,28,706,1853,21,Godrej Properties,6667000,17400000
Bangalore,1,Sarjapur,14,,,,,,,Library,29,1833,2293,9,Brigade Group,21000000,25100000
Bangalore,1,Mahadevapura,20,,,,,,,Maintenance Staff,31,660,1385,6,Assetz Property,3272000,10300000
Bangalore,1,Varthur,21,,,,,,,Power Backup,32,735,1724,11,DivyaSree Developers,5584000,13100000
Bangalore,1,Malleshwaram,31,,,,,,,Tennis Court,35,1196,1366,31,Rohan Builders and Developers,8000000,17000000
Bangalore,1,Tumkur Road,32,,,,,,,Wifi,36,615,1607,1,Prestige Group,5313000,13800000
Bangalore,1,Hebbal,36,,,,,,,Elevator,37,656,1210,2,Sobha Limited,9418000,25600000
Bangalore,1,Hesaraghatta Road,38,,,,,,,Indoor Games,38,1197,1891,148,Century Real Estate,7972000,12500000
Bangalore,1,R T Nagar,43,,,,,,,Party House,39,1051,1500,21,Godrej Properties,4649000,6636000
Bangalore,1,Jakkur,49,,,,,,,Water Supply,40,1388,6314,21,Godrej Properties,14800000,67600000
Bangalore,1,Hennur Road,50,,,,,,,Car Parking,41,869,1693,22,Durga Projects,9369000,18200000
Bangalore,1,Thanisandra,56,,,,,,,CCTV,42,905,2882,1,Prestige Group,9500000,30200000
Bangalore,1,Horamavu,57,,,,,,,Club House,43,1057,1600,35,Arvind SmartSpaces,10100000,15400000
Bangalore,1,Kodigehalli,67,,,,,,,Gym,45,1232,1800,29,Puravankara Limited,8809000,12900000
Bangalore,1,Hennur Bagalur Road,69,,,,,,,Jogging Track,46,702,3153,24,SJR Prime Corp,9952000,44700000
Bangalore,1,Koramangala,86,,,,,,,Rainwater Harvesting,47,753,1586,35,Arvind SmartSpaces,4757000,10000000
Bangalore,1,JP Nagar,94,,,,,,,Sewage Treatment,48,655,2842,24,SJR Prime Corp,7835000,34000000
Bangalore,1,HSR Layout,95,,,,,,,Swimming Pool,49,1355,2790,47,L And T Realty,12600000,26100000
Bangalore,1,Bannerghatta Road,96,,,,,,,,,1120,1700,49,Ramky Group,5900000,9800000
Bangalore,1,Padmanabha Nagar,113,,,,,,,,,1086,1647,35,Arvind SmartSpaces,8300000,12500000
Bangalore,1,Mysore Road,114,,,,,,,,,607,1709,50,Uniidus Projects,3459000,9739000
Bangalore,1,Kanakapura Road,118,,,,,,,,,775,3336,21,Godrej Properties,6537000,28100000
Bangalore,1,Electronic City Phase 1,129,,,,,,,,,960,1418,17,Bren Group,5978000,8833000
Bangalore,1,Frazer Town,152,,,,,,,,,1073,1500,10,Vaishnavi Group,7484000,11000000
Bangalore,1,Cunningham Road,177,,,,,,,,,615,1486,10,Vaishnavi Group,4600000,10600000
Bangalore,1,Magadi Road,179,,,,,,,,,1395,3245,17882,SNN Raj Corp,9117000,22300000
Bangalore,1,Rajaji Nagar,193,,,,,,,,,714,1850,36,Salarpuria Sattva Group,5249000,13600000
Bangalore,1,Bellandur,199,,,,,,,,,1180,1561,19,Goyal and Co Hariyana Group,8099000,10700000
Bangalore,1,K R Puram,201,,,,,,,,,1920,3250,25,DNR Group,16300000,27600000
Bangalore,1,Ramamurthy Nagar,202,,,,,,,,,1274,1842,25,DNR Group,9109000,13100000
Bangalore,1,Doddanekundi,205,,,,,,,,,1050,1960,54,Navanaami Projects Pvt Ltd,6589000,12300000
Bangalore,1,Hoodi,208,,,,,,,,,589,1698,31,Rohan Builders and Developers,3609000,10400000
Bangalore,1,Kadugodi,211,,,,,,,,,1279,2526,148,Century Real Estate,9055000,17800000
Bangalore,1,Budigere,262,,,,,,,,,977,1574,149,Bhartiya City,6952000,10800000
Bangalore,1,Kundalahalli Road,266,,,,,,,,,1446,4561,57,Klassik Enterprises,14900000,47000000
Bangalore,1,Haralur Road,267,,,,,,,,,1115,1855,1,Prestige Group,7999000,13300000
Bangalore,1,Bellandur Outer Ring Road,268,,,,,,,,,1058,2171,1,Prestige Group,7999000,16400000
Bangalore,1,ITPL Road,271,,,,,,,,,704,1659,19,Goyal and Co Hariyana Group,6060000,14200000
Bangalore,1,Yemalur,281,,,,,,,,,709,2272,5,Kolte Patil Developers,4034000,12900000
Bangalore,1,Varthur Road,284,,,,,,,,,1005,1535,58,Ozone Group,9109000,13800000
Bangalore,1,Kattigenahalli,314,,,,,,,,,1251,3058,58,Ozone Group,7493000,18300000
Bangalore,1,Devanahalli Road,358,,,,,,,,,950,1750,59,GM Infinite,7600000,14000000
Bangalore,1,Devanahalli,360,,,,,,,,,1908,2636,5,Kolte Patil Developers,25100000,34400000
Bangalore,1,Dasarahalli Main Road,383,,,,,,,,,2843,3467,61,White Lotus Lifescapes,58800000,72600000
Bangalore,1,Hulimavu,396,,,,,,,,,565,3265,21727,SNN Estates,3910000,22500000
Bangalore,1,Rajarajeshwari Nagar,397,,,,,,,,,1413,2621,29,Puravankara Limited,15100000,28100000
Bangalore,1,Hosakerehalli,406,,,,,,,,,1216,1621,29,Puravankara Limited,10000000,13400000
Bangalore,1,Kengeri,412,,,,,,,,,1188,1930,29,Puravankara Limited,10000000,14600000
Bangalore,1,Banashankari 3rd Stage,441,,,,,,,,,1239,1586,36,Salarpuria Sattva Group,10900000,14000000
Bangalore,1,Kudlu,452,,,,,,,,,492,1704,36,Salarpuria Sattva Group,10300000,29400000
Bangalore,1,Begur Road,459,,,,,,,,,606,1826,36,Salarpuria Sattva Group,8422000,25300000
Bangalore,1,Kudlu Gate,463,,,,,,,,,658,1498,36,Salarpuria Sattva Group,4919000,11200000
Bangalore,1,Panathur Main Road,574,,,,,,,,,1195,1550,27,Shriram Properties,6453000,8370000
Bangalore,1,Cleveland Town,581,,,,,,,,,1300,1960,27,Shriram Properties,9483000,14200000
Bangalore,1,Yadalam Nagar,587,,,,,,,,,598,1533,36,Salarpuria Sattva Group,4557000,11600000
Bangalore,1,Hoskote Main Road,641,,,,,,,,,935,1350,27,Shriram Properties,4550000,7419000
Bangalore,1,Off Bangalore International Airport Road,643,,,,,,,,,1165,1600,9,Brigade Group,10400000,14300000
Bangalore,1,Belathur,644,,,,,,,,,942,1449,9,Brigade Group,5600000,9300000
Bangalore,1,JP Nagar Phase 9,646,,,,,,,,,719,2437,9,Brigade Group,4384000,14900000
Bangalore,1,Kogilu Cross,664,,,,,,,,,770,1450,27,Shriram Properties,4195000,7901000
Bangalore,1,Thanisandra Main Road,666,,,,,,,,,695,1760,27,Shriram Properties,5528000,13900000
Bangalore,1,Bhoganhalli,668,,,,,,,,,915,1465,27,Shriram Properties,3665000,5868000
Bangalore,1,Banashankari 6th Stage,674,,,,,,,,,1300,1950,2,Sobha Limited,16100000,24200000
Bangalore,1,Yeswanthpur,678,,,,,,,,,1162,1817,2,Sobha Limited,11300000,17800000
Bangalore,1,ITPL Main Road,680,,,,,,,,,2051,4690,2,Sobha Limited,22900000,52300000
Bangalore,1,Rv Road,685,,,,,,,,,2005,2193,2,Sobha Limited,14600000,16000000
Bangalore,1,Bommanahalli,688,,,,,,,,,662,1262,37,Provident Housing,2979000,5679000
Bangalore,1,Kumbalgodu,697,,,,,,,,,517,1314,37,Provident Housing,4957000,12500000
Bangalore,1,Electronic City Phase 2,701,,,,,,,,,602,1705,1,Prestige Group,8899000,25200000
Bangalore,1,Kogilu Road,702,,,,,,,,,661,1750,1,Prestige Group,3630000,9609000
Bangalore,1,Yelahanka New Town,705,,,,,,,,,1028,2316,63,NCC Urban Limited,5946000,13300000
Bangalore,1,Hoodi Junction,706,,,,,,,,,596,1456,64,Concorde Group,3479000,8500000
Bangalore,1,Basavanagudi,711,,,,,,,,,1454,2105,65,Address Maker,12100000,17700000
Bangalore,1,Aavalahalli,713,,,,,,,,,551,1476,36,Salarpuria Sattva Group,5603000,14900000
Bangalore,1,Binnypet,716,,,,,,,,,622,1768,9,Brigade Group,4637000,13100000
Bangalore,1,Yelahanka,721,,,,,,,,,630,1535,60,UKN Properties,5787000,14100000
Bangalore,1,Budigere Cross,725,,,,,,,,,1400,2800,60,UKN Properties,7000000,14000000
Bangalore,1,Hosur Road,726,,,,,,,,,710,4075,60,UKN Properties,4860000,27800000
Bangalore,1,Hosa Road,727,,,,,,,,,2900,4200,60,UKN Properties,25200000,36600000
Bangalore,1,Sadashivanagar,728,,,,,,,,,2040,3165,65,Address Maker,22900000,35600000
Bangalore,1,Vidyaranyapura,730,,,,,,,,,2900,5530,65,Address Maker,27600000,56200000
Bangalore,1,Sahakaranagar,732,,,,,,,,,1901,3314,2,Sobha Limited,18400000,65000000
Bangalore,1,JP Nagar 8th Phase,733,,,,,,,,,1365,1935,2,Sobha Limited,12500000,17700000
Bangalore,1,Lalbagh Road,735,,,,,,,,,2600,3754,2,Sobha Limited,15000000,63100000
Bangalore,1,Chikkaballapur,736,,,,,,,,,2957,3450,19,Goyal and Co Hariyana Group,23000000,32200000
Bangalore,1,Jalahalli,737,,,,,,,,,2185,3900,77,Legacy Global Projects,14200000,25300000
Bangalore,1,Tavarekere,739,,,,,,,,,2190,2850,77,Legacy Global Projects,23100000,27700000
Bangalore,1,Attibele,740,,,,,,,,,1215,1550,78,Mims Builders,5710000,7285000
Bangalore,1,Nandi Hills,742,,,,,,,,,1832,2093,36,Salarpuria Sattva Group,11400000,13000000
Bangalore,1,JP Nagar 7th Phase,743,,,,,,,,,992,1416,36,Salarpuria Sattva Group,4821000,6881000
Bangalore,1,Nagarbhavi,745,,,,,,,,,2215,4465,36,Salarpuria Sattva Group,33300000,71900000
Bangalore,1,Doddaballapur Road,746,,,,,,,,,1803,2272,2,Sobha Limited,13900000,17100000
Bangalore,1,Old Airport Road,747,,,,,,,,,941,1176,13,Ahad Builders,4775000,5876000
Bangalore,1,Richmond Circle,748,,,,,,,,,416,728,79,VBHC Value Homes,2177000,3811000
Bangalore,1,Kadubeesanahalli,749,,,,,,,,,1006,2262,6,Assetz Property,6670000,15000000
Bangalore,1,Millers Road,750,,,,,,,,,1007,1990,80,Frontier Shelters,6527000,745400000
Bangalore,1,Banashankari 2nd Stage,751,,,,,,,,,628,1611,1,Prestige Group,3454000,8860000
Bangalore,1,Bagaluru,752,,,,,,,,,2666,5384,81,Embassy Group,22600000,45700000
Bangalore,1,Chikka Tirupathi,753,,,,,,,,,2097,5922,30,RBD Shelters,29300000,82900000
Bangalore,1,Nelamangala,754,,,,,,,,,1485,2246,30,RBD Shelters,19300000,29200000
Bangalore,1,Carmelaram,767,,,,,,,,,2183,3037,6,Assetz Property,21500000,29900000
Bangalore,1,Gunjur,784,,,,,,,,,2932,4131,6,Assetz Property,48700000,49200000
Bangalore,1,Bommasandra,785,,,,,,,,,1010,1230,84,Jeevan Developers,4040000,4920000
Bangalore,1,Vasanth Nagar,786,,,,,,,,,950,1385,83,Saptagiri Developers,4785000,6976000
Bangalore,1,Ulsoor,787,,,,,,,,,1150,1485,84,Jeevan Developers,5463000,7054000
